LI-8100,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,LI-8100,LI-8150,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810
2024-06-02 15:40:18,154.652990,100.060000,6978.600000,26.057440,-142594.341140,0.007880,-199636.319220,0.000510,16,3.124490,-0.165480,3.633810,0.991380,0.990750,-0.330860,0.924080,0.917270,449.570000,2058.776660
2024-06-02 15:43:05,154.654920,100.050000,6978.600000,140.481980,96504.932920,0.025460,96504.932920,0.025460,10,-2.317830,-0.534590,-2.317830,0.817640,0.817640,-0.524850,0.819590,0.820460,451.020000,2058.388790
2024-06-02 15:46:05,154.657000,100.040000,6978.600000,25.991330,-108896.125290,0.008480,-111040.318840,0.008460,9,16.119890,-1.825560,16.119890,0.981660,0.981660,-1.825560,0.985200,0.985200,457.620000,2053.789830
2024-06-02 15:49:03,154.659060,100.040000,6978.600000,-69.012560,-158609.878640,0.014950,-215265.705510,0.014550,49,6.529870,-0.751280,6.529870,0.993760,0.993760,-0.751280,0.991010,0.991010,437.180000,2050.505490
2024-06-02 16:31:20,154.688430,99.990000,6978.600000,25.756560,-2448664.188700,0.005250,-2448664.188700,0.005250,13,4.096570,0.674420,8.751880,0.982680,0.961470,0.677560,0.452570,0.454540,472.820000,2044.995790
2024-06-02 16:34:18,154.690490,100.000000,6978.600000,-69.122330,109644.155840,0.003330,109644.155840,0.003330,14,5.294250,-0.514700,8.076530,0.991820,0.983740,-0.514700,0.832990,0.832990,482.640000,2050.176660
2024-06-02 16:37:16,154.692550,99.990000,6978.600000,25.608330,11476717.140950,0.016810,11476717.140950,0.016810,15,4.578440,0.052280,4.578440,0.994890,0.994890,0.052280,0.108520,0.108520,464.110000,2046.192380
2024-06-02 16:40:14,154.694610,100.010000,6978.600000,25.261220,-6415.022790,0.000020,-6415.022790,0.000020,16,2.123230,-0.354970,5.369330,0.984000,0.948790,-0.966450,0.948210,0.923230,463.300000,2054.537200
2024-06-02 16:43:01,154.696540,100.020000,6978.600000,138.775490,194612.677010,0.048190,143339.688010,0.044520,10,1.536660,2.042740,1.536660,0.833100,0.833100,2.042740,0.970280,0.970280,449.190000,2051.293980
2024-06-02 16:46:01,154.698620,100.010000,6978.600000,25.098780,-29566.892350,0.000780,-29566.892350,0.000780,9,16.431200,-1.836660,16.431200,0.997270,0.997270,-1.836660,0.987780,0.987780,465.970000,2058.169360
2024-06-02 16:48:59,154.700680,100.020000,6978.600000,-69.130560,175333.637410,0.040790,175333.637410,0.040790,49,6.326870,-0.889670,6.326870,0.986820,0.986820,-0.889670,0.983170,0.983170,468.320000,2051.109410
2024-06-02 17:31:20,154.730090,99.990000,6978.600000,25.209110,-59511.278630,0.000590,-59511.278630,0.000590,13,1.587390,-1.775140,16.653490,0.910080,0.604520,-1.775140,0.948000,0.948000,476.770000,2102.475420
2024-06-02 17:34:18,154.732150,100.010000,6978.600000,-69.219110,531960.433310,0.044710,531960.433310,0.044710,14,5.293220,-0.724520,5.293220,0.967790,0.967790,-0.724520,0.974500,0.974500,471.990000,2051.674570
2024-06-02 17:37:17,154.734220,100.000000,6978.600000,24.983330,-21542.496170,0.001090,-21542.496170,0.001090,15,3.810890,-0.636470,4.799030,0.994660,0.992610,-0.636470,0.978360,0.978360,452.350000,2043.213850
2024-06-02 17:40:17,154.736310,100.000000,6978.600000,24.871220,-26938.762570,0.012110,-67370.268560,0.005690,16,3.085580,-0.200880,3.387990,0.995370,0.995120,-0.200880,0.957980,0.957980,457.050000,2038.325760
2024-06-02 17:43:04,154.738240,100.000000,6978.600000,139.625270,103859.342010,0.012260,103859.342010,0.012260,10,-0.486630,-0.064460,-1.274220,0.456190,0.431080,-0.066610,0.287440,0.285840,451.360000,2039.758100
2024-06-02 17:46:05,154.740340,100.010000,6978.600000,24.866890,108204.321590,0.006970,56232.437440,0.005300,9,15.811110,-1.760040,15.811110,0.996180,0.996180,-1.760040,0.996030,0.996030,470.600000,2036.419050
2024-06-02 17:49:05,154.742420,100.020000,6978.600000,-69.187440,-249356.538720,0.010050,-340524.539540,0.004200,49,6.774690,-0.849190,6.774690,0.997200,0.997200,-0.849190,0.992960,0.992960,466.160000,2035.728160
2024-06-02 18:31:20,154.771760,99.960000,6978.600000,24.540220,-2011016.751380,0.018950,-2390058.471680,0.019520,13,5.304210,-0.633430,10.770870,0.990160,0.979150,-1.218030,0.985080,0.982240,498.120000,2041.070900
2024-06-02 18:34:18,154.773820,99.990000,6978.600000,-69.488670,96881.230100,0.008860,96881.230100,0.008860,14,5.809640,0.627480,17.686500,0.994670,0.959560,0.627480,0.950120,0.950120,491.850000,2044.370740
